ALG, INST, t[s], alpha, custo, custo_total, percent_total, melhor_custo, relacao_melhor, iteracao_melhor, grafo_nos, solucao_nos, grafo_arestas, solucao_arestas,,,,,,,,
A2, D1-B.dat,1.58038,0.3,188,274,68.61%,106,77.36%,148,1000,3,1250,2,,,,,,,,
A2, D1-B.dat,1.57598,0.3,188,274,68.61%,106,77.36%,746,1000,3,1250,2,,,,,,,,
A2, D1-B.dat,1.65556,0.3,188,274,68.61%,106,77.36%,52,1000,3,1250,2,,,,,,,,
A2, D1-B.dat,1.6279,0.3,188,274,68.61%,106,77.36%,874,1000,3,1250,2,,,,,,,,
A2, D1-B.dat,1.55403,0.3,188,274,68.61%,106,77.36%,159,1000,3,1250,2,,,,,,,,
A2, D1-B.dat,1.55447,0.3,188,274,68.61%,106,77.36%,154,1000,3,1250,2,,,,,,,,
A2, D1-B.dat,1.55173,0.3,188,274,68.61%,106,77.36%,269,1000,3,1250,2,,,,,,,,
A3, D1-B.dat,3.20347,0.5,186,274,67.88%,106,75.47%,29,1000,2,1250,1,,,,,,,,
A3, D1-B.dat,3.22727,0.4,186,274,67.88%,106,75.47%,513,1000,2,1250,1,,,,,,,,
A3, D1-B.dat,3.21112,0.35,186,274,67.88%,106,75.47%,747,1000,2,1250,1,,,,,,,,
A3, D1-B.dat,3.21147,0.3,188,274,68.61%,106,77.36%,100,1000,3,1250,2,,,,,,,,
A3, D1-B.dat,3.29673,0.25,188,274,68.61%,106,77.36%,251,1000,3,1250,2,,,,,,,,
A3, D1-B.dat,3.23286,0.45,186,274,67.88%,106,75.47%,1153,1000,2,1250,1,,,,,,,,
A3, D1-B.dat,3.26273,0.4,186,274,67.88%,106,75.47%,324,1000,2,1250,1,,,,,,,,
A3, D1-B.dat,3.19679,0.45,186,274,67.88%,106,75.47%,1070,1000,2,1250,1,,,,,,,,
A3, D1-B.dat,3.26112,0.2,188,274,68.61%,106,77.36%,151,1000,3,1250,2,,,,,,,,
A3, D1-B.dat,3.22458,0.2,188,274,68.61%,106,77.36%,577,1000,3,1250,2,,,,,,,,
A3, D1-B.dat,3.28589,0.45,186,274,67.88%,106,75.47%,251,1000,2,1250,1,,,,,,,,
A3, D1-B.dat,3.22423,0.5,186,274,67.88%,106,75.47%,410,1000,2,1250,1,,,,,,,,
A3, D1-B.dat,3.28806,0.35,186,274,67.88%,106,75.47%,645,1000,2,1250,1,,,,,,,,
A3, D1-B.dat,3.17646,0.2,188,274,68.61%,106,77.36%,511,1000,3,1250,2,,,,,,,,
A3, D1-B.dat,3.25547,0.35,186,274,67.88%,106,75.47%,699,1000,2,1250,1,,,,,,,,
A3, D1-B.dat,3.18337,0.4,188,274,68.61%,106,77.36%,119,1000,3,1250,2,,,,,,,,
A3, D1-B.dat,3.22024,0.5,186,274,67.88%,106,75.47%,23,1000,2,1250,1,,,,,,,,
A3, D1-B.dat,3.20103,0.4,186,274,67.88%,106,75.47%,411,1000,2,1250,1,,,,,,,,
A3, D1-B.dat,3.2436,0.4,186,274,67.88%,106,75.47%,199,1000,2,1250,1,,,,,,,,
A3, D1-B.dat,3.18102,0.45,188,274,68.61%,106,77.36%,216,1000,3,1250,2,,,,,,,,
A1, i04M1.dat,0.0439317,0,53900.2,53900.2,100%,25282.6,113.19%,0,1801,1,16721,0,,53.26895,53900.2,,,,,
A2, i04M1.dat,53.2795,0.1,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,51.23555,,,,,,
A2, i04M1.dat,54.0668,0.1,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,53.5205,,,,,,
A2, i04M1.dat,53.4665,0.1,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,53.9898,0.1,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,120.792,53900.2,25282.6,1.13191,0.275,53900.2
A2, i04M1.dat,53.4059,0.1,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,54.5662,0.1,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,54.6155,0.1,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,53.1707,0.1,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,52.988,0.1,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,52.2224,0.1,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,51.7379,0.1,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,54.6061,0.1,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,53.1333,0.1,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,54.23,0.1,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,53.2584,0.1,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,61.2824,0.1,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,52.7165,0.1,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,52.0921,0.1,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,50.7724,0.1,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,51.548,0.1,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,51.1635,0.2,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,48.4193,0.2,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,45.3408,0.2,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,45.5165,0.2,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,45.6225,0.2,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,48.4345,0.2,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,54.262,0.2,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,46.8995,0.2,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,48.631,0.2,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,50.2821,0.2,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,53.5765,0.2,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,54.1219,0.2,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,51.3076,0.2,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,48.1786,0.2,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,52.7022,0.2,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,53.9209,0.2,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,52.6271,0.2,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,51.843,0.2,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,52.9872,0.2,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,54.3024,0.2,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
A2, i04M1.dat,52.6459,0.3,53900.2,53900.2,100%,25282.6,113.19%,0,1801,0,16721,0,,,,,,,,
